mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
RealmeNarzo10A(SoWhite32),8999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue32)A3:T7,8999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue64),9999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoWhite64),9999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10(Thatreen128),19999.00,Thatreen,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,199
RealmeNarzo10(ThatWhite128),11999.00,ThatWhite,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,
RealmeNarzo10A(SoWhite32),8999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue32)A3:T7,8999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue64),9999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoWhite64),9999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10(Thatreen128),11999.00,Thatreen,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,199
RealmeNarzo10(ThatWhite128),11999.00,ThatWhite,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,199
Realme5Pro(Crystalreen64),14999.00,Crystalreen,Sim,16,2527200,AndroidPie9.0,OctaCore,2.3,64,6,48822,16,3,Yes,4035,74.2,157,8.9,184
Realme5Pro(Crystalreen128),16999.00,Crystalreen,Sim,16,2527200,AndroidPie9.0,OctaCore,2.3,128,8,48822,16,3,Yes,4035,74.2,157,8.9,184
Realme5Pro(SparklinBlue128),16999.00,SparklinBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2.3,128,8,48822,16,3,Yes,4035,74.2,157,8.9,184
Realme5Pro(SparklinBlue64),13999.00,SparklinBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2.3,64,4,48822,16,3,Yes,4035,74.2,157,8.9,184
RealmeX2Pro(LunarWhite256),35999.00,LunarWhite,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,256,12,641382,16,3,Yes,4000,75.7,161,8.7,199
RealmeX2Pro(NeptuneBlue256),35999.00,NeptuneBlue,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,256,12,641382,16,3,Yes,4000,75.7,161,8.7,199
RealmeX2Pro(NeptuneBlue128),31999.00,NeptuneBlue,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,128,8,641382,16,3,Yes,4000,75.7,161,8.7,199
RealmeX2Pro(LunarWhite128),31999.00,LunarWhite,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,128,8,641382,16,3,Yes,4000,75.7,161,8.7,199
Realme2Pro(BlackSea128),15490.00,BlackSea,Sim,16,2527200,AndroidOreo8.1,OctaCore,1.95,128,8,162,16,3,Yes,3500,74,156.7,8.5,174
RealmeXT(PearlBlue64),16999.00,PearlBlue,Sim,16.26,2527200,AndroidPie9.0,OctaCore,2.3,64,4,64822,16,342,Yes,4000,75.16,158.7,8.55,183
RealmeXT(PearlWhite64),16999.00,PearlWhite,Sim,16.26,2527200,AndroidPie9.0,OctaCore,2.3,64,4,64822,16,423,Yes,4000,75.16,158.7,8.55,183
RealmeNarzo10A(SoWhite64),9999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10(Thatreen128),11999.00,Thatreen,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,199
RealmeNarzo10(ThatWhite128),11999.00,ThatWhite,Sim,16.51,1152000,Android10,OctaCore,2,128,4,48822,16,4,Yes,5000,75.4,164.4,9,
RealmeNarzo10A(SoWhite32),8999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue32)A3:T7,8999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,32,3,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoBlue64),9999.00,SoBlue,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeNarzo10A(SoWhite64),9999.00,SoWhite,Sim,16.56,1152000,Android10,OctaCore,2,64,4,1222,5,4,Yes,5000,75,164.4,8.95,195
RealmeC2(DiamondBlack32),6999.00,DiamondBlack,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,2,132,5,3,Yes,4000,73.7,154.3,8.5,166
RealmeC2(DiamondBlue32),6999.00,DiamondBlue,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,2,132,5,3,Yes,4000,73.7,154.3,8.5,166
RealmeC2(DiamondBlack32),7499.00,DiamondBlack,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,3,132,5,3,Yes,4000,73.7,154.3,8.5,166
RealmeC2(DiamondBlue32),7499.00,DiamondBlue,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,3,132,5,3,Yes,4000,73.7,154.3,8.5,166
RealmeC2(DiamondRuby32),7499.00,DiamondRuby,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,3,132,5,3,Yes,4000,73.7,154.3,8.5,166
Realme6(CometBlue128),17999.00,CometBlue,Sim,16.51,2592000,Android10,OctaCore,2.05,128,8,64822,16,4,Yes,4300,74.8,162.1,9.6,191
RealmeC2(DiamondSapphire32),7499.00,DiamondSapphire,Sim,15.49,1123200,AndroidPie9.0,OctaCore,2,32,3,132,5,3,Yes,4000,73.7,154.3,8.5,166
Realme5Pro(Crystalreen64),13999.00,Crystalreen,Sim,16,2527200,AndroidPie9.0,OctaCore,2.3,64,4,48822,16,3,Yes,4035,74.2,157,8.9,184
Realme5s(CrystalRed128),11999.00,CrystalRed,Sim,16.51,1152000,AndroidPie9,OctaCore,2,128,4,48822,13,3,Yes,5000,75.6,164.4,9.3,
Realme5s(CrystalBlue64),10999.00,CrystalBlue,Sim,16.51,1152000,AndroidPie9,OctaCore,2,64,4,48822,13,3,Yes,5000,75.6,164.4,9.3,198
Realme5s(CrystalPurple128),11999.00,CrystalPurple,Sim,16.51,1152000,AndroidPie9,OctaCore,2,128,4,48822,13,3,Yes,5000,75.6,164.4,9.3,198
Realme5s(CrystalRed64),10999.00,CrystalRed,Sim,16.51,1152000,AndroidPie9,OctaCore,2,64,4,48822,13,3,Yes,5000,75.6,164.4,9.3,198
Realme5s(CrystalBlue128),11999.00,CrystalBlue,Sim,16.51,1152000,AndroidPie9,OctaCore,2,128,4,48822,13,3,Yes,5000,75.6,164.4,9.3,198
Realme5s(CrystalPurple64),10999.00,CrystalPurple,Sim,16.51,1152000,AndroidPie9,OctaCore,2,64,4,48822,13,3,Yes,5000,75.6,164.4,9.3,198
RealmeX2Pro(NeptuneBlue64),29999.00,NeptuneBlue,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,64,6,641382,16,3,Yes,4000,75.7,161,8.7,199
RealmeX2Pro(LunarWhite64),29999.00,LunarWhite,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,64,6,641382,16,3,Yes,4000,75.7,161,8.7,199
RealmeX2Pro(RedBrick256),36999.00,RedBrick,Sim,16.51,2592000,AndroidPie9,OctaCore,2.96,256,12,641382,16,3,Yes,4000,75.7,161,8.7,199
